Firm Name
Nina Capital
Athenian Capital
Atria Ventures
A2Z Venture
Tyche Partners
NewBuild Venture Capital 
Spark Capital
MVP Ventures
Mendoza Ventures
Sanofi
Bain Capital Ventures
Founders Fund
Litquidity
Altamont Capital Partners
SignalFire
Flagship Pioneering
Agriculture Capital
Function Investments
Semillero Ventures
Lerer Hippeau
Builders VC
Formation 8
Pear VC
H/L Ventures
5am Ventures
Struck Capital
Menlo Ventures
Vine Capital
Platinum Eco Capital
Audeo Ventures
XRC Ventures
leAD Sports & Health Tech Partners
GSV Ventures
Upfront Ventures
MBA Ventures
Red Dog Capital
Two Bear Capital
LDV Partners
bp Ventures
F-Prime Capital
Andreessen Horowitz
MAVRIK
Green Cloud Capital
Espalier Ventures
Dunhill Ventures
Techstars
Serena Capital
Cofounders Capital
Tribeca Venture Partners
Continue Capital
Fyrfly
Think +
Amity Ventures
Wonder Ventures
Xplorer Capital
Learn
Gilead Sciences
Notion Capital
E²JDJ
Wayfinder Ventures
Lionheart Ventures
Juvo Ventures
CentreGold Capital
BrandProject
